29.04.2024	116	59
30.04.2024	362	85
01.05.2024	76	188
02.05.2024	267	76
03.05.2024	74	204
04.05.2024	390	161
05.05.2024	356	74
06.05.2024	87	52
07.05.2024	292	27
08.05.2024	195	178
09.05.2024	84	64
10.05.2024	331	40
11.05.2024	202	62
12.05.2024	444	118
13.05.2024	177	101
14.05.2024	214	136
15.05.2024	269	71
16.05.2024	381	178
17.05.2024	203	109
18.05.2024	307	63
19.05.2024	274	85
20.05.2024	254	143
21.05.2024	146	216
22.05.2024	297	51
23.05.2024	208	205
24.05.2024	107	167
25.05.2024	172	43
26.05.2024	195	116
27.05.2024	135	47
28.05.2024	180	194
29.05.2024	422	106
30.05.2024	332	146
31.05.2024	299	126
01.06.2024	347	108
02.06.2024	314	25
03.06.2024	289	192
04.06.2024	117	145
05.06.2024	170	50
06.06.2024	118	137
07.06.2024	346	46
08.06.2024	95	175
09.06.2024	424	113
10.06.2024	388	188
11.06.2024	448	88
12.06.2024	207	37
13.06.2024	83	89
14.06.2024	440	75
15.06.2024	325	63
16.06.2024	210	75
17.06.2024	104	218
18.06.2024	262	81
19.06.2024	204	114
20.06.2024	196	215
21.06.2024	141	33
22.06.2024	240	114
23.06.2024	163	189
24.06.2024	384	32
25.06.2024	76	176
26.06.2024	410	73
27.06.2024	104	97
28.06.2024	275	102
29.06.2024	117	157
30.06.2024	400	79
01.07.2024	220	99
02.07.2024	147	162
03.07.2024	194	165
04.07.2024	400	133
05.07.2024	188	34
06.07.2024	144	97
07.07.2024	205	147
08.07.2024	120	130
09.07.2024	268	157
10.07.2024	153	80
11.07.2024	264	93
12.07.2024	207	142
13.07.2024	76	95
14.07.2024	258	42
15.07.2024	420	186
16.07.2024	161	131
17.07.2024	311	126
18.07.2024	408	177
19.07.2024	295	191
20.07.2024	132	202
21.07.2024	277	29
22.07.2024	328	60
23.07.2024	320	215
24.07.2024	252	41
25.07.2024	446	189
26.07.2024	418	115
27.07.2024	239	101
28.07.2024	147	71
29.07.2024	378	179
30.07.2024	329	124
31.07.2024	415	178
01.08.2024	363	172
02.08.2024	198	29
03.08.2024	366	58
04.08.2024	299	90
05.08.2024	113	103
06.08.2024	234	220
07.08.2024	177	72
08.08.2024	448	94
09.08.2024	215	160
10.08.2024	368	69
11.08.2024	181	203
12.08.2024	405	165
13.08.2024	306	126
14.08.2024	93	166
15.08.2024	77	216
16.08.2024	320	208
17.08.2024	246	135
18.08.2024	283	180
19.08.2024	71	140
20.08.2024	96	28
21.08.2024	300	188
22.08.2024	388	190
23.08.2024	157	133
24.08.2024	344	91
25.08.2024	81	92
26.08.2024	95	62
27.08.2024	383	181
28.08.2024	121	148
29.08.2024	199	57
30.08.2024	401	117
31.08.2024	421	99
01.09.2024	425	102
02.09.2024	113	166
03.09.2024	359	170
04.09.2024	424	153
05.09.2024	198	168
06.09.2024	176	49
07.09.2024	101	184
08.09.2024	103	125
09.09.2024	195	62
10.09.2024	274	41
11.09.2024	176	134
12.09.2024	111	164
13.09.2024	166	211
14.09.2024	108	199
15.09.2024	77	85
16.09.2024	276	105
17.09.2024	174	38
18.09.2024	445	157
19.09.2024	253	43
20.09.2024	180	217
21.09.2024	355	141
22.09.2024	84	152
23.09.2024	438	90
24.09.2024	330	180
25.09.2024	287	176
26.09.2024	394	42
27.09.2024	273	63
28.09.2024	443	62
29.09.2024	314	86
30.09.2024	118	198
01.10.2024	180	199
02.10.2024	70	73
03.10.2024	205	131
04.10.2024	94	99
05.10.2024	131	159
06.10.2024	447	63
07.10.2024	184	99
08.10.2024	270	72
09.10.2024	85	83
10.10.2024	439	192
11.10.2024	214	101
12.10.2024	354	75
13.10.2024	431	177
14.10.2024	173	152
15.10.2024	166	55
16.10.2024	247	180
17.10.2024	127	161
18.10.2024	339	135
19.10.2024	162	65
20.10.2024	180	79
21.10.2024	193	192
22.10.2024	266	199
23.10.2024	150	188
24.10.2024	408	129
25.10.2024	265	214
26.10.2024	422	44
27.10.2024	196	61
28.10.2024	208	86
29.10.2024	362	213
30.10.2024	100	154
31.10.2024	449	145
01.11.2024	110	46
02.11.2024	193	149
03.11.2024	173	135
04.11.2024	295	85
05.11.2024	281	61
06.11.2024	114	61
07.11.2024	154	199
08.11.2024	311	117
09.11.2024	204	81
10.11.2024	413	183
11.11.2024	110	132
12.11.2024	219	106
13.11.2024	386	52
14.11.2024	90	38
15.11.2024	129	164
16.11.2024	372	75
17.11.2024	222	178
18.11.2024	407	115
19.11.2024	76	77
20.11.2024	368	154
21.11.2024	209	199
22.11.2024	215	121
23.11.2024	448	100
24.11.2024	433	68
25.11.2024	435	60
26.11.2024	244	53
27.11.2024	101	137
28.11.2024	176	126
29.11.2024	117	133
30.11.2024	382	138
01.12.2024	405	116
02.12.2024	77	176
03.12.2024	409	197
04.12.2024	220	60
05.12.2024	256	138
06.12.2024	112	90
07.12.2024	416	187
08.12.2024	404	75
09.12.2024	231	151
10.12.2024	200	88
11.12.2024	93	43
12.12.2024	378	78
13.12.2024	159	34
14.12.2024	285	88
15.12.2024	350	192
16.12.2024	414	108
17.12.2024	367	110
18.12.2024	291	217
19.12.2024	195	37
20.12.2024	90	63
21.12.2024	383	191
22.12.2024	423	30
23.12.2024	440	166
24.12.2024	413	56
25.12.2024	428	179
26.12.2024	142	138
27.12.2024	401	64
28.12.2024	359	188
29.12.2024	398	108
30.12.2024	266	102
31.12.2024	387	133
